Partition_Name,Type,Size_KB,,Region,Group,Reserved,Download,Download_File,OTA_Update,EmptyBoot_Needed,FastBoot_Erase,,FastBoot_Download,,Operation_Type
,,eng,user,,,,,,,,eng,user,eng,user,
preloader,Raw data,256,,EMMC_BOOT_1,,N,Y,AUTO,Y,N,N,,N,,BOOTLOADERS
pgpt,Raw data,32,,EMMC_USER,,N,N,NONE,N,N,Y,N,Y,N,AUTO
proinfo,Raw data,3072,,EMMC_USER,,N,N,NONE,N,N,N,,N,,PROTECTED
misc2,Raw data,8192,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
nvcfg,EXT4,8192,,EMMC_USER,,N,N,NONE,N,N,N,,N,,PROTECTED
nvram,Raw data,5120,,EMMC_USER,,N,N,NONE,N,N,N,,N,,BINREGION
protect1,EXT4,10240,,EMMC_USER,,N,N,NONE,N,N,N,,N,,PROTECTED
protect2,EXT4,10240,,EMMC_USER,,N,N,NONE,N,N,N,,N,,PROTECTED
lk_a,Raw data,512,,EMMC_USER,,N,Y,lk.img,Y,Y,Y,N,Y,N,AUTO
para,Raw data,512,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
boot_a,Raw data,16384,,EMMC_USER,,N,Y,boot.img,Y,N,Y,,Y,,AUTO
boot_b,Raw data,16384,,EMMC_USER,,N,N,NONE,Y,N,Y,,Y,,AUTO
boot_para,Raw data,1024,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
recovery,Raw data,16384,,EMMC_USER,,N,Y,recovery.img,Y,N,Y,,Y,,AUTO
logo,Raw data,8192,,EMMC_USER,,N,Y,logo.bin,N,Y,Y,N,Y,N,AUTO
mcupmfw_a,Raw data,1024,,EMMC_USER,,N,Y,mcupmfw.img,Y,N,N,,N,,AUTO
mcupmfw_b,Raw data,1024,,EMMC_USER,,N,N,NONE,Y,N,N,,N,,AUTO
md_udc,Raw data,23144,,EMMC_USER,,N,N,NONE,N,N,Y,,N,,AUTO
spmfw_a,Raw data,1024,,EMMC_USER,,N,Y,spmfw.img,Y,N,N,,N,,AUTO
spmfw_b,Raw data,1024,,EMMC_USER,,N,N,NONE,Y,N,N,,N,,AUTO
sspm_a,Raw data,1024,,EMMC_USER,,N,Y,sspm.img,Y,N,N,,N,,AUTO
sspm_b,Raw data,1024,,EMMC_USER,,N,N,NONE,Y,N,N,,N,,AUTO
expdb,Raw data,10240,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
eng_system,EXT4,32768,,EMMC_USER,,N,N,NONE,N,N,Y,,Y,,AUTO
eng_vendor,EXT4,32768,,EMMC_USER,,N,N,NONE,N,N,Y,,Y,,AUTO
seccfg,Raw data,512,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
oemkeystore,Raw data,2048,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
secro,Raw data,6144,,EMMC_USER,,N,Y,secro.img,N,N,N,,N,,AUTO
keystore,Raw data,8192,,EMMC_USER,,N,N,NONE,N,N,Y,,Y,,AUTO
tee_a,Raw data,5120,,EMMC_USER,,N,Y,tee.img,Y,Y,N,,N,,AUTO
tee_b,Raw data,5120,,EMMC_USER,,N,N,NONE,Y,N,N,,N,,AUTO
lk_b,Raw data,512,,EMMC_USER,,N,N,NONE,Y,N,Y,N,Y,N,AUTO
persist,EXT4,49152,,EMMC_USER,,N,N,NONE,N,N,N,,N,,PROTECTED
custom,EXT4,56320,,EMMC_USER,,N,Y,AUTO,N,N,N,,N,,AUTO
radio,EXT4,32768,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
odm_a,EXT4,65536,,EMMC_USER,,N,Y,odm.img,Y,N,Y,,Y,,AUTO
odm_b,EXT4,65536,,EMMC_USER,,N,N,NONE,Y,N,Y,,Y,,AUTO
oem,EXT4,65536,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
efuse,Raw data,512,,EMMC_USER,,N,Y,efuse.img,N,N,N,,N,,AUTO
frp,Raw data,1024,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
nvdata,EXT4,32768,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
dtbo_a,Raw data,8192,,EMMC_USER,,N,Y,dtbo.img,Y,N,Y,,Y,,AUTO
dtbo_b,Raw data,8192,,EMMC_USER,,N,N,NONE,Y,N,Y,,Y,,AUTO
odmdtbo_a,Raw data,16384,,EMMC_USER,,N,Y,odmdtbo.img,Y,N,Y,,Y,,AUTO
odmdtbo_b,Raw data,16384,,EMMC_USER,,N,N,NONE,Y,N,Y,,Y,,AUTO
metadata,Raw data,32768,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
super,Raw data,3184640,,EMMC_USER,,N,Y,super.img,Y,N,Y,,Y,,AUTO
vendor_a,EXT4,524288,,EMMC_USER,main,N,Y,vendor.img,Y,N,Y,,Y,,AUTO
vendor_b,EXT4,524288,,EMMC_USER,main,N,N,NONE,Y,N,Y,,Y,,AUTO
system_a,EXT4,2621440,,EMMC_USER,main,N,Y,system.img,Y,N,Y,,Y,,AUTO
system_b,EXT4,2621440,,EMMC_USER,main,N,Y,system_other.img,Y,N,Y,,Y,,AUTO
vbmeta_a,Raw data,8192,,EMMC_USER,,N,Y,vbmeta.img,Y,N,Y,,Y,,AUTO
vbmeta_system_a,Raw data,8192,,EMMC_USER,,N,Y,vbmeta_system.img,Y,N,Y,,Y,,AUTO
vbmeta_vendor_a,Raw data,8192,,EMMC_USER,,N,Y,vbmeta_vendor.img,Y,N,Y,,Y,,AUTO
vbmeta_b,Raw data,8192,,EMMC_USER,,N,N,NONE,Y,N,Y,,Y,,AUTO
vbmeta_system_b,Raw data,8192,,EMMC_USER,,N,N,NONE,Y,N,Y,,Y,,AUTO
vbmeta_vendor_b,Raw data,8192,,EMMC_USER,,N,N,NONE,Y,N,Y,,Y,,AUTO
cache,EXT4,409600,,EMMC_USER,,N,Y,cache.img,N,N,Y,,Y,,AUTO
product_a,EXT4,614400,,EMMC_USER,main,N,Y,product.img,Y,N,Y,,Y,,AUTO
product_b,EXT4,614400,,EMMC_USER,main,N,N,NONE,Y,N,Y,,Y,,AUTO
userdata,EXT4,1572864,,EMMC_USER,,N,Y,userdata.img,N,N,Y,,Y,,AUTO
intsd,FAT,0,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
otp,Raw data,44032,,EMMC_USER,,Y,N,NONE,N,N,N,,N,,RESERVED
flashinfo,Raw data,16384,,EMMC_USER,,Y,N,NONE,N,N,N,,N,,RESERVED
sgpt,Raw data,32,,EMMC_USER,,Y,N,NONE,N,N,N,,N,,RESERVED
